scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_corticosteroids_all,scaffold,fixed_0.5,brier,100,0.23120230652385085,0.02342804329124299,0.23066691423828628,0.19339378710652272,0.27477572719586796
exclude_corticosteroids_all,scaffold,train_youden,roc_auc,100,0.7006243420102714,0.113923962946601,0.7110323886639676,0.48523755656108597,0.8899494949494949
exclude_corticosteroids_all,scaffold,train_youden,pr_auc,100,0.7229125226076302,0.1549959206363671,0.7477562290983193,0.3029851508257678,0.9395654942739975
exclude_corticosteroids_all,scaffold,train_youden,balanced_accuracy,100,0.6535323320592222,0.10279588447815015,0.6522200226244343,0.48602253401360546,0.834484649122807
exclude_corticosteroids_all,scaffold,train_youden,accuracy,100,0.6542290710407077,0.1035400911526906,0.6479568926807363,0.4506528030150077,0.8561320237050042
exclude_corticosteroids_all,scaffold,train_youden,sensitivity,100,0.6154530171235415,0.19906626384336784,0.6201923076923077,0.20133928571428572,1.0
exclude_corticosteroids_all,scaffold,train_youden,specificity,100,0.6916116469949032,0.2102730260515657,0.7071428571428573,0.28943798449612407,1.0
exclude_corticosteroids_all,scaffold,train_youden,precision,100,0.6647661382945234,0.2092433323888779,0.6635220125786163,0.20967741935483872,1.0
exclude_corticosteroids_all,scaffold,train_youden,f1,100,0.60881861987064,0.15403731381436037,0.6315208489121533,0.2240497076023392,0.8
exclude_corticosteroids_all,scaffold,train_youden,mcc,100,0.3151358425945748,0.20399876066945502,0.32183326604259166,-0.027493907454591036,0.696268817873311
exclude_corticosteroids_all,scaffold,train_youden,brier,100,0.23120230652385085,0.02342804329124299,0.23066691423828628,0.19339378710652272,0.27477572719586796
original_all,random,fixed_0.5,roc_auc,100,0.7385640105051526,0.09858056885720416,0.7402871621621622,0.5305490247300592,0.8913009781167108
original_all,random,fixed_0.5,pr_auc,100,0.7746038673777798,0.09291767256378096,0.7802691384039147,0.6083541303861497,0.9174381287111669
original_all,random,fixed_0.5,balanced_accuracy,100,0.6493241483061144,0.09073941477254188,0.6405844155844156,0.4498809523809524,0.8103794642857143
original_all,random,fixed_0.5,accuracy,100,0.6567578225086858,0.09380425713862603,0.6568921232876712,0.45168475667938923,0.8208633556356149
original_all,random,fixed_0.5,sensitivity,100,0.815561030945319,0.12760165123458983,0.8421052631578947,0.5514285714285714,1.0
original_all,random,fixed_0.5,specificity,100,0.4830872656669099,0.1772845319829479,0.47667342799188656,0.15151515151515155,0.809242424242424
original_all,random,fixed_0.5,precision,100,0.641075182439657,0.09581259835818895,0.6382978723404257,0.4555775577557757,0.8071946169772256
original_all,random,fixed_0.5,f1,100,0.7111063155158288,0.08429087032306856,0.7217959647627168,0.51114173596188,0.8438416422287389
original_all,random,fixed_0.5,mcc,100,0.3292657879468305,0.18804836017102794,0.32340504392732455,-0.1009574517714778,0.653649725790534
original_all,random,fixed_0.5,brier,100,0.21863586104197266,0.01782525609250917,0.21682455207797302,0.19049821685910343,0.2538751291235096
original_all,random,train_youden,roc_auc,100,0.7385640105051526,0.09858056885720416,0.7402871621621622,0.5305490247300592,0.8913009781167108
original_all,random,train_youden,pr_auc,100,0.7746038673777798,0.09291767256378096,0.7802691384039147,0.6083541303861497,0.9174381287111669
original_all,random,train_youden,balanced_accuracy,100,0.6789763913065605,0.09243577534855019,0.6913674560733385,0.48698788998357967,0.815185009487666
original_all,random,train_youden,accuracy,100,0.680918283421644,0.09229561776928277,0.693979933110368,0.4858823354007633,0.8116282081469272
original_all,random,train_youden,sensitivity,100,0.6938391478662375,0.1769763119700156,0.7142857142857143,0.3333333333333333,0.9703124999999995
original_all,random,train_youden,specificity,100,0.6641136347468829,0.16915795634470518,0.686607142857143,0.3594607843137255,0.9568181818181811
original_all,random,train_youden,precision,100,0.7055287015332045,0.12056335299365245,0.7142857142857144,0.4845554660220253,0.9532786885245893
original_all,random,train_youden,f1,100,0.6851479800316586,0.11715213689926975,0.7103825136612023,0.42757437070938215,0.8357774674115457
original_all,random,train_youden,mcc,100,0.3741432057739734,0.18898991874843657,0.4030976301531156,-0.025943682026739776,0.6415694895233216
original_all,random,train_youden,brier,100,0.21863586104197266,0.01782525609250917,0.21682455207797302,0.19049821685910343,0.2538751291235096
original_all,scaffold,fixed_0.5,roc_auc,100,0.7153174614886056,0.13691686324590777,0.7266339869281044,0.42462406015037596,0.9391666666666666
original_all,scaffold,fixed_0.5,pr_auc,100,0.7461932132691375,0.16643318083254396,0.7956675524343114,0.2817530372582637,0.9559283059092856
original_all,scaffold,fixed_0.5,balanced_accuracy,100,0.6466612613071113,0.1050233825649585,0.6521581196581197,0.46085227272727275,0.866517857142857
original_all,scaffold,fixed_0.5,accuracy,100,0.6367278152561184,0.11953337853940722,0.6457971014492754,0.3903958944281525,0.8561594202898551
original_all,scaffold,fixed_0.5,sensitivity,100,0.7962666427437322,0.15881553623904257,0.8255578093306288,0.4475,1.0
original_all,scaffold,fixed_0.5,specificity,100,0.49705587987049116,0.20066410061868561,0.4694444444444446,0.20327586206896558,1.0
original_all,scaffold,fixed_0.5,precision,100,0.6188934224475928,0.17315914558852888,0.635861376192868,0.2777777777777778,1.0
original_all,scaffold,fixed_0.5,f1,100,0.6763338954125027,0.13239226866989237,0.7118725868725868,0.38071895424836605,0.8670520231213873
original_all,scaffold,fixed_0.5,mcc,100,0.31436468772133497,0.20984141473004575,0.33001631168494816,-0.08005867138706355,0.735199407742744
original_all,scaffold,fixed_0.5,brier,100,0.22617800261875565,0.027514890800532595,0.2204562542993948,0.18455958416873952,0.2905248079392802
original_all,scaffold,train_youden,roc_auc,100,0.7153174614886056,0.13691686324590777,0.7266339869281044,0.42462406015037596,0.9391666666666666
original_all,scaffold,train_youden,pr_auc,100,0.7461932132691375,0.16643318083254396,0.7956675524343114,0.2817530372582637,0.9559283059092856
original_all,scaffold,train_youden,balanced_accuracy,100,0.6609684438071995,0.1200883397377268,0.6770171657592257,0.41666666666666663,0.8947222222222221
original_all,scaffold,train_youden,accuracy,100,0.6610057230548871,0.10780737372858247,0.6770370370370371,0.42539682539682544,0.8561594202898551
original_all,scaffold,train_youden,sensitivity,100,0.6588121336873679,0.22984546486976706,0.6666666666666666,0.0,1.0
original_all,scaffold,train_youden,specificity,100,0.6631247539270311,0.19227761406126712,0.6470588235294119,0.31467225609756105,1.0
original_all,scaffold,train_youden,precision,100,0.6563655822645369,0.22180879515889404,0.6787469287469288,0.0,1.0
original_all,scaffold,train_youden,f1,100,0.6352592658661738,0.19080233393577076,0.6926884996191927,0.0,0.8458333333333332
original_all,scaffold,train_youden,mcc,100,0.33037436045174956,0.23984022415390188,0.36932760756609717,-0.20034818474372462,0.735199407742744
original_all,scaffold,train_youden,brier,100,0.22617800261875565,0.027514890800532595,0.2204562542993948,0.18455958416873952,0.2905248079392802
